dataset,partition_method,partition_seed,logical_shards,physical_core_equivalents,m32_capacity_fraction,relevant_query_shard_pairs,ef_search,local_target_recall_mean,local_target_recall_median,local_target_recall_p95,local_target_recall_std,local_target_recall_target_weighted,distance_computations_mean,distance_computations_median,distance_computations_p95,distance_computations_std,graph_nodes_visited_mean,graph_nodes_visited_median,graph_nodes_visited_p95,graph_nodes_visited_std,worker_cpu_us_mean,worker_cpu_us_median,worker_cpu_us_p95,worker_cpu_us_std,local_latency_us_mean,local_latency_us_median,local_latency_us_p95,local_latency_us_std
glove-200-angular,kmeans,20260820,8,8,0.25,21420,24,0.645465667748581,0.875,1.0,0.40992542368690704,0.7259111111111111,1371.3848739495797,1344.0,2077.0,397.7295840057976,36.637861811391225,35.0,48.0,5.693509885115065,289.89449112978525,275.0,470.0,96.90367678625185,8381.074389822596,7581.132,16438.612699999998,4235.87793169905
glove-200-angular,kmeans,20260820,8,8,0.25,21420,32,0.6847705193188387,1.0,1.0,0.3982280710994061,0.7627,1674.6200280112046,1648.0,2508.0,482.91050936627494,44.70219421101774,43.0,57.0,6.219338597450139,350.92063492063494,332.0,577.0,118.78804596275319,8347.643255088702,7523.674999999999,16395.53475,4213.099202338738
glove-200-angular,kmeans,20260820,8,8,0.25,21420,40,0.7149280452921909,1.0,1.0,0.3869145250347486,0.7889888888888889,1965.7823529411764,1941.5,2929.0,563.5019091798764,52.63935574229692,51.0,66.0,6.551031533335673,410.86937441643323,392.0,670.0,138.4884784398316,8407.126497665733,7613.202499999999,16572.01905,4204.6396804260285
glove-200-angular,kmeans,20260820,8,8,0.25,21420,80,0.7984148288945209,1.0,1.0,0.3420373867051607,0.8599888888888889,3333.4866013071896,3355.0,4762.049999999999,933.4272468046154,91.76946778711485,90.0,105.0,6.619573273531978,691.6867880485528,664.0,1127.0,233.75158628870196,8475.183417787115,7691.8099999999995,16498.226649999997,4184.524793476694
glove-200-angular,kmeans,20260820,8,8,0.25,21420,160,0.8707624716553287,1.0,1.0,0.2831494087475342,0.9150666666666667,5884.540943043884,5979.5,8326.0,1670.2524704617874,170.2813258636788,169.0,180.0,5.538553148417597,1248.2528944911298,1208.0,2016.0,428.38464204953647,8896.963970121382,8133.593,16708.08665,4116.768847735836
glove-200-angular,kmeans,20260820,8,8,0.25,21420,320,0.9282055414758497,1.0,1.0,0.2137169430087515,0.9542444444444445,10592.943464052287,10831.0,14981.099999999999,3059.9893083100396,328.96447245564895,328.0,335.0,3.9533458246265165,2288.430298786181,2244.0,3627.0,756.6985643684528,16886.26222240896,15120.302,34586.500199999995,9238.520312957467
glove-200-angular,kmeans,20260820,16,16,0.5,23927,10,0.5196054334579849,0.5555555555555556,1.0,0.4322977295454997,0.6125,739.4495757930372,718.0,1141.7000000000007,223.25202911676237,19.57984703473064,19.0,26.0,3.556523166448234,164.43737200651984,157.0,261.0,53.49281495105327,8551.490040080245,7625.621,17540.508400000006,4676.982468961811
glove-200-angular,kmeans,20260820,16,16,0.5,23927,16,0.5996544715042645,0.7777777777777778,1.0,0.42586017581891805,0.6907888888888889,997.0042211727338,976.0,1534.0,302.68096263702944,26.049567434279265,25.0,35.0,4.278832232669934,208.61069085133948,199.0,334.0,68.18475186748992,8946.609706607598,8074.522,17787.9241,4634.054009545515
glove-200-angular,kmeans,20260820,16,16,0.5,23927,20,0.6336493408190653,0.875,1.0,0.4190423165821989,0.7233555555555555,1155.3076022902997,1136.0,1770.7000000000007,349.9800608120209,30.143310903999666,29.0,39.0,4.575139413439637,235.97300121201988,226.0,376.0,76.36527389733894,8991.479722740001,8116.982,17797.264700000003,4626.854508059689
glove-200-angular,kmeans,20260820,16,16,0.5,23927,24,0.6631715946851567,0.9,1.0,0.41095755911222526,0.7504,1309.6950307184352,1289.0,1998.0,396.8709033992557,34.19885485016926,33.0,44.0,4.858166572645002,262.54490742675637,252.0,420.0,86.09238499669083,9020.274833159192,8132.391,17898.2804,4622.400687311748
glove-200-angular,kmeans,20260820,16,16,0.5,23927,32,0.7046681838475628,1.0,1.0,0.396994795960997,0.7877666666666666,1603.6581685961467,1585.0,2410.0,480.02169053718023,42.1336983324278,41.0,53.0,5.166809546112681,313.57341079115645,302.0,500.0,102.23974138194913,9013.241376603835,8158.72,17818.8093,4645.449136485477
glove-200-angular,kmeans,20260820,16,16,0.5,23927,40,0.734452013764088,1.0,1.0,0.3839994067643473,0.8143,1886.4711413883897,1870.0,2808.0,558.0503526466657,49.966523174656245,48.0,61.0,5.288516959381055,364.17473983366074,352.0,578.0,118.5167689969968,8990.644306975384,8127.241,17682.397800000006,4609.431592629919
glove-200-angular,kmeans,20260820,16,16,0.5,23927,80,0.8212576149279456,1.0,1.0,0.3340523181081525,0.8840888888888889,3221.779746729636,3231.0,4641.700000000001,939.8327255546369,88.93960797425503,87.0,99.0,4.963332484267768,611.555063317591,591.0,981.0,203.75420167007687,9218.692297822545,8337.245,18008.489000000005,4638.675259728011
glove-200-angular,kmeans,20260820,16,16,0.5,23927,160,0.8967106463376368,1.0,1.0,0.26479168098035294,0.9379222222222222,5683.499561165211,5783.0,8182.700000000001,1683.1629330453197,167.52781376687423,167.0,174.0,3.6329781898296662,1084.5402265223388,1057.0,1750.0,366.9628115525661,9424.661677101183,8555.443,18119.0584,4553.636293909136
glove-200-angular,kmeans,20260820,16,16,0.5,23927,320,0.9481086651793383,1.0,1.0,0.19336290527106598,0.9708666666666667,10067.710285451582,10331.0,14551.0,3035.027042311366,326.5308229197141,326.0,331.0,2.39163972480667,2028.1729009069252,1973.0,3321.0,727.5092339261246,23420.050829272368,20692.95,49859.735,14073.22364453881
glove-200-angular,kmeans,20260820,32,32,1.0,27229,10,0.5482032753361117,0.6666666666666666,1.0,0.43693924835490383,0.6446777777777778,700.9092144404863,681.0,1096.0,217.2473684454695,18.708839839876603,18.0,25.0,3.2541183913952114,152.78309890190604,147.0,241.0,49.02203936082523,9564.550329721988,8385.944,20083.296199999997,5544.319378966994
glove-200-angular,kmeans,20260820,32,32,1.0,27229,16,0.6282913379584207,0.875,1.0,0.42533321730325385,0.7199888888888889,943.6492709978332,925.0,1452.0,289.8422803022485,24.988835432810607,24.0,32.0,3.769257388218854,191.40508281611517,184.0,301.0,61.181074467104324,10040.850936905506,8884.699,20676.8306,5723.662897456663
glove-200-angular,kmeans,20260820,32,32,1.0,27229,20,0.6652210061984567,1.0,1.0,0.41602268913675133,0.7532777777777778,1095.9818208527672,1081.0,1679.0,335.42033861273495,29.03973704506225,28.0,37.0,4.0109338815997715,215.75731756583056,207.0,340.0,69.0744247346909,9911.83616912116,8779.712,20197.1346,5636.157645899657
glove-200-angular,kmeans,20260820,32,32,1.0,27229,24,0.6950739524328344,1.0,1.0,0.4065004861953357,0.7794666666666666,1242.092511660362,1227.0,1890.0,377.6893097943553,33.00650042234383,32.0,41.0,4.176729750664567,239.1146204414411,231.0,375.0,76.34843257426057,10057.358262661133,8853.712,20690.916199999996,5795.301028186819
