dataset,logical_shards,metric,difference_definition,favorable_direction,orion_mean,kmeans_mean,mean_difference,relative_difference_vs_kmeans,bootstrap_ci95_low,bootstrap_ci95_high,paired_query_count,bootstrap_replicates,bootstrap_seed,conclusion
glove-200-angular,2,P_HNSW,Orion minus K-Means,lower_favors_orion,1.6995555555555555,1.6695555555555555,0.03,0.017968853986423533,0.016777777777777777,0.04300277777777774,9000,10000,20361029,KMEANS_FAVORED
glove-200-angular,2,Delta_P,Orion minus K-Means,lower_favors_orion,0.39122222222222225,0.3398888888888889,0.051333333333333335,0.15102974828375285,0.04066666666666666,0.06222222222222222,9000,10000,20361030,KMEANS_FAVORED
glove-200-angular,2,W90,Orion minus K-Means,lower_favors_orion,16038.51888888889,15873.012333333334,165.50655555555556,0.010426915325202117,48.334763888888894,285.38276944444436,9000,10000,20361031,KMEANS_FAVORED
glove-200-angular,2,full_fanout_wall_us,Orion minus K-Means,lower_favors_orion,28174.07872522222,27585.935404555556,588.1433206666668,0.021320405200743728,540.5786655194445,634.6006662888889,9000,10000,20361032,KMEANS_FAVORED
glove-200-angular,2,total_distance_computations,Orion minus K-Means,lower_favors_orion,21572.71,21408.66911111111,164.0408888888889,0.007662358086694496,109.37254166666666,218.01280555555556,9000,10000,20361033,KMEANS_FAVORED
glove-200-angular,2,total_graph_nodes_visited,Orion minus K-Means,lower_favors_orion,663.1173333333334,665.1207777777778,-2.0034444444444444,-0.003012151343607268,-2.2435638888888887,-1.7716611111111114,9000,10000,20361034,ORION_FAVORED
glove-200-angular,2,total_worker_cpu_us,Orion minus K-Means,lower_favors_orion,6074.457888888889,6130.479222222222,-56.02133333333333,-0.009138165435788933,-70.42194166666667,-41.43893055555556,9000,10000,20361035,ORION_FAVORED
glove-200-angular,2,total_response_bytes,Orion minus K-Means,lower_favors_orion,1541.4683333333332,1543.9853333333333,-2.517,-0.0016301968326123996,-2.618225,-2.414888888888889,9000,10000,20361036,ORION_FAVORED
glove-200-angular,4,achieved_recall_at_10,Orion minus K-Means,higher_favors_orion,0.9358666666666666,0.929311111111111,0.0065555555555555575,0.007054209808938524,0.0048000000000000004,0.0083,9000,10000,20361224,ORION_FAVORED
glove-200-angular,4,common_ef_mean_local_target_recall,Orion minus K-Means,higher_favors_orion,0.9318981701940035,0.9254402557319225,0.006457914462081129,0.006978207855215485,0.003842582120811287,0.009116517857142856,9000,10000,20361225,ORION_FAVORED
